file path,line #,comment,satd
jieba/setup.py,1,-*- coding: utf-8 -*-,
jieba/test/test_userdict.py,1,encoding=utf-8,
jieba/test/test_userdict.py,36,test frequency tune,
jieba/test/test_no_hmm.py,1,encoding=utf-8,
jieba/test/test.py,1,encoding=utf-8,
jieba/test/test_change_dictpath.py,1,encoding=utf-8,
jieba/test/test_paddle.py,1,encoding=utf-8,
jieba/test/test_cut_for_search.py,1,encoding=utf-8,
jieba/test/test_lock.py,1,!/usr/bin/env python,
jieba/test/test_lock.py,2,-*- coding: utf-8 -*-,
jieba/test/test_paddle_postag.py,1,encoding=utf-8,
jieba/test/test_whoosh_file_read.py,1,-*- coding: UTF-8 -*-,
jieba/test/test_tokenize.py,1,encoding=utf-8,
jieba/test/,1,-*-coding: utf-8 -*-,
jieba/test/test_whoosh_file.py,1,-*- coding: UTF-8 -*-,
jieba/test/demo.py,1,encoding=utf-8,
jieba/test/demo.py,15,全模式,
jieba/test/demo.py,18,默认模式,
jieba/test/demo.py,23,搜索引擎模式,
jieba/test/demo.py,31,如果/放到/post/中将/出错/。,
jieba/test/demo.py,33,494,
jieba/test/demo.py,35,如果/放到/post/中/将/出错/。,
jieba/test/demo.py,37,「/台/中/」/正确/应该/不会/被/切开,
jieba/test/demo.py,39,69,
jieba/test/demo.py,41,「/台中/」/正确/应该/不会/被/切开,
jieba/test/test_bug.py,1,encoding=utf-8,
jieba/test/test_pos.py,1,encoding=utf-8,
jieba/test/test_pos_no_hmm.py,1,encoding=utf-8,
jieba/test/extract_topic.py,36,one line as a document,
jieba/test/extract_topic.py,56,Inverse the vectorizer vocabulary to be able,
jieba/test/test_tokenize_no_hmm.py,1,encoding=utf-8,
jieba/test/test_cutall.py,1,encoding=utf-8,
jieba/test/test_whoosh.py,1,-*- coding: UTF-8 -*-,
jieba/test/test_whoosh.py,17,for create new index,
jieba/test/test_whoosh.py,18,"ix = open_dir(""tmp"") # for read only",
jieba/test/test_multithread.py,1,encoding=utf-8,
jieba/test/test_multithread.py,11,全模式,
jieba/test/test_multithread.py,14,默认模式,
jieba/test/test_multithread.py,19,搜索引擎模式,
jieba/test/parallel/test.py,1,encoding=utf-8,
